event_type,scheduled_at_utc,importance,source,source_series_names
NFP,2022-11-04 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Oct); Nonfarm Payrolls Private (Oct)
CPI,2022-11-10 13:30:00,high,fmp_economics_calendar,CPI (Oct); Core Inflation Rate MoM (Oct); Core Inflation Rate YoY (Oct); Inflation Rate MoM (Oct); Inflation Rate YoY (Oct)
FOMC_MINUTES,2022-11-23 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2022-12-01 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Oct); Core PCE Price Index YoY (Oct); PCE Price Index MoM (Oct); PCE Price Index YoY (Oct)
NFP,2022-12-02 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Nov); Nonfarm Payrolls Private (Nov)
CPI,2022-12-13 13:30:00,high,fmp_economics_calendar,CPI (Nov); Core Inflation Rate MoM (Nov); Core Inflation Rate YoY (Nov); Inflation Rate MoM (Nov); Inflation Rate YoY (Nov)
FOMC_DECISION,2022-12-14 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2022-12-23 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Nov); Core PCE Price Index YoY (Nov); PCE Price Index MoM (Nov); PCE Price Index YoY (Nov)
FOMC_MINUTES,2023-01-04 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
NFP,2023-01-06 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Dec); Nonfarm Payrolls Private (Dec)
CPI,2023-01-12 13:30:00,high,fmp_economics_calendar,CPI (Dec); Core Inflation Rate MoM (Dec); Core Inflation Rate YoY (Dec); Inflation Rate MoM (Dec); Inflation Rate YoY (Dec)
PCE,2023-01-27 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Dec); Core PCE Price Index YoY (Dec); PCE Price Index MoM (Dec); PCE Price Index YoY (Dec)
FOMC_DECISION,2023-02-01 19:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
NFP,2023-02-03 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Jan); Nonfarm Payrolls Private (Jan)
CPI,2023-02-14 13:30:00,high,fmp_economics_calendar,CPI (Jan); Core Inflation Rate MoM (Jan); Core Inflation Rate YoY (Jan); Inflation Rate MoM (Jan); Inflation Rate YoY (Jan)
FOMC_MINUTES,2023-02-22 19:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2023-02-24 13:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Jan); Core PCE Price Index YoY (Jan); PCE Price Index MoM (Jan); PCE Price Index YoY (Jan)
NFP,2023-03-10 13:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Feb); Nonfarm Payrolls Private (Feb)
CPI,2023-03-14 12:30:00,high,fmp_economics_calendar,CPI (Feb); CPI s.a (Feb); Core Inflation Rate MoM (Feb); Core Inflation Rate YoY (Feb); Inflation Rate MoM (Feb); Inflation Rate YoY (Feb)
FOMC_DECISION,2023-03-22 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
PCE,2023-03-31 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Feb); Core PCE Price Index YoY (Feb); PCE Price Index MoM (Feb); PCE Price Index YoY (Feb)
NFP,2023-04-07 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Mar); Nonfarm Payrolls Private (Mar)
CPI,2023-04-12 12:30:00,high,fmp_economics_calendar,CPI (Mar); CPI s.a (Mar); Core Inflation Rate MoM (Mar); Core Inflation Rate YoY (Mar); Inflation Rate MoM (Mar); Inflation Rate YoY (Mar)
FOMC_MINUTES,2023-04-12 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2023-04-28 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Mar); Core PCE Price Index YoY (Mar); PCE Price Index MoM (Mar); PCE Price Index YoY (Mar)
FOMC_DECISION,2023-05-03 18:00:00,high,fmp_economics_calendar,Fed Interest Rate Decision
NFP,2023-05-05 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (Apr); Nonfarm Payrolls Private (Apr)
CPI,2023-05-10 12:30:00,high,fmp_economics_calendar,CPI (Apr); CPI s.a (Apr); Core Inflation Rate MoM (Apr); Core Inflation Rate YoY (Apr); Inflation Rate MoM (Apr); Inflation Rate YoY (Apr)
FOMC_MINUTES,2023-05-24 18:00:00,medium,fmp_economics_calendar,FOMC Minutes
PCE,2023-05-26 12:30:00,medium,fmp_economics_calendar,Core PCE Price Index MoM (Apr); Core PCE Price Index YoY (Apr); PCE Price Index MoM (Apr); PCE Price Index YoY (Apr)
NFP,2023-06-02 12:30:00,high,fmp_economics_calendar,Non Farm Payrolls (May); Nonfarm Payrolls Private (May)
